page,id_in_page,details_page_url,agency_or_not
1,1,https://www.sortlist.com/agency/feel-and-clic,1
1,2,https://www.sortlist.com/agency/hello-pomelo,1
1,3,https://www.sortlist.com/agency/big-boss-studio,1
1,4,https://www.sortlist.com/agency/prismalia-agencia-de-marketing-digital,1
1,5,https://www.sortlist.com/agency/flying-saucer-studio,1
1,6,https://www.sortlist.com/agency/galadrim,1
1,7,https://www.sortlist.com/agency/yield-studio,1
1,8,https://www.sortlist.com/agency/aji-creative,1
1,9,https://www.sortlist.com/agency/le-backyard,1
1,10,https://www.sortlist.com/agency/webfluencer,1
1,11,https://www.sortlist.com/agency/sooyoos,1
1,12,https://www.sortlist.com/agency/netdevices,1
1,13,https://www.sortlist.com/agency/wsi-france,1
1,14,https://www.sortlist.com/agency/mon-agence-du-web,1
1,15,https://www.sortlist.com/agency/eyaka,1
1,16,https://www.sortlist.com/agency/zol,1
1,17,https://www.sortlist.com/agency/kwantic,1
1,18,https://www.sortlist.com/agency/versus-byte,1
1,19,https://www.sortlist.com/agency/rload-studio,1
1,20,https://www.sortlist.com/agency/lyra,1
2,1,https://www.sortlist.com/agency/da-studio,1
2,2,https://www.sortlist.com/agency/buddy-buddy,1
2,3,https://www.sortlist.com/agency/wadm,1
2,4,https://www.sortlist.com/agency/addicta,1
2,5,https://www.sortlist.com/agency/dev-work,1
2,6,https://www.sortlist.com/agency/queen-tech-solutions,1
2,7,https://www.sortlist.com/agency/mme-mr-la-gastronomie-du-web,1
2,8,https://www.sortlist.com/agency/innovative-solutions-2,1
2,9,https://www.sortlist.com/agency/flatline-agency,1
2,10,https://www.sortlist.com/agency/steps,1
2,11,https://www.sortlist.com/agency/djm-digital,1
2,12,https://www.sortlist.com/agency/born-digital,1
2,13,https://www.sortlist.com/agency/edonec,1
2,14,https://www.sortlist.com/agency/lunar-gravity,1
2,15,https://www.sortlist.com/agency/digital-masters,1
2,16,https://www.sortlist.com/agency/berlin-bytes,1
